# Synthetic Educational Test Data - For Testing & Simulation Only
timestamp,instrument_id,timeframe,open,high,low,close,volume,is_closed
2026-08-28T09:15:00Z,NIFTY_23500_CE,15m,65.0,72.0,60.0,70.0,3200.0,true
2026-08-28T09:30:00Z,NIFTY_23500_CE,15m,70.0,78.0,68.0,76.0,3900.0,true
2026-08-28T09:45:00Z,NIFTY_23500_CE,15m,76.0,80.0,71.0,73.0,3100.0,true
2026-08-28T10:00:00Z,NIFTY_23500_CE,15m,73.0,85.0,71.0,84.0,4600.0,true
2026-08-28T10:15:00Z,NIFTY_23500_CE,15m,84.0,91.0,81.0,88.0,4200.0,true
2026-08-28T10:30:00Z,NIFTY_23500_CE,15m,88.0,89.0,78.0,80.0,3300.0,true
2026-08-28T10:45:00Z,NIFTY_23500_CE,15m,80.0,83.0,74.0,76.0,2800.0,true
2026-08-28T11:00:00Z,NIFTY_23500_CE,15m,76.0,78.0,64.0,67.0,5100.0,true
2026-08-28T11:15:00Z,NIFTY_23500_CE,15m,67.0,73.0,65.0,70.0,3600.0,true
2026-08-28T11:30:00Z,NIFTY_23500_CE,15m,70.0,75.0,68.0,72.0,3000.0,true
