# Synthetic Educational Test Data - For Testing & Simulation Only
timestamp,instrument_id,timeframe,open,high,low,close,volume,is_closed
2026-08-28T09:15:00Z,INCOMPLETE_SERIES,15m,100.0,105.0,98.0,102.0,500.0,true
2026-08-28T09:30:00Z,INCOMPLETE_SERIES,15m,102.0,108.0,100.0,106.0,700.0,true
2026-08-28T09:45:00Z,INCOMPLETE_SERIES,15m,106.0,110.0,104.0,105.0,400.0,true
2026-08-28T10:00:00Z,INCOMPLETE_SERIES,15m,105.0,112.0,103.0,110.0,800.0,true
2026-08-28T10:15:00Z,INCOMPLETE_SERIES,15m,110.0,115.0,108.0,112.0,600.0,true
2026-08-28T10:30:00Z,INCOMPLETE_SERIES,15m,112.0,118.0,110.0,115.0,900.0,false
2026-08-28T10:45:00Z,INCOMPLETE_SERIES,15m,115.0,120.0,112.0,118.0,750.0,true
2026-08-28T11:00:00Z,INCOMPLETE_SERIES,15m,118.0,122.0,115.0,120.0,850.0,true
2026-08-28T11:15:00Z,INCOMPLETE_SERIES,15m,120.0,125.0,118.0,122.0,950.0,true
2026-08-28T11:30:00Z,INCOMPLETE_SERIES,15m,122.0,126.0,120.0,124.0,1000.0,true
